English,Predicted_Spanish
"The cost of maintaining the environment, which we all enjoy, must be met by all of us, and the LIFE programme is the only financial instrument aimed exclusively at the environment and whose projects have generally been effective.","El costo de mantener el medio ambiente, del cual todos disfrutamos, debe ser cubierto por todos, y el programa LIFE es el único instrumento financiero dirigido exclusivamente al medio ambiente y cuyos proyectos en general han sido efectivos."
"Mr President, Commissioner, first of all I would like to congratulate the rapporteur, Mr Viceconte, who spoke at such length on the tangible possibility, for the fifteen Member States of the Union, of creating jobs by way of a sensible policy, a sensible European Union initiative in this field.","Señor Presidente, Comisario, en primer lugar me gustaría felicitar al ponente, el señor Viceconte, quien habló tan extensamente sobre la posibilidad tangible, para los quince Estados miembros de la Unión, de crear empleos a través de una política sensata, una iniciativa sensata de la Unión Europea en este campo."
I have no doubt further reform of EU institutions will be analysed in this debate.,"""No tengo duda de que la reforma adicional de las instituciones de la UE será analizada en este debate."""
Amendment No 4 makes it clear that the object of the exercise is the evaluation of fisheries resources generally.,"""La enmienda N.º 4 deja claro que el objeto del ejercicio es la evaluación de los recursos pesqueros en general."""
"The proposals in Mrs Theato' s report seek to encourage the Commission to present a substantive legislative measure on the protection, under criminal law, of our financial interests, which would criminalise certain activity, specifically fraud against the Community budget. These proposals represent a serious attempt to establish a new and ever more urgently-needed uniform criminal law for the whole Community.","Las propuestas en el informe de la Sra. Theato buscan alentar a la Comisión a presentar una medida legislativa sustantiva sobre la protección, bajo el derecho penal, de nuestros intereses financieros, la cual criminalizaría ciertas actividades, en particular el fraude contra el presupuesto comunitario. Estas propuestas representan un serio intento de establecer una nueva y cada vez más urgentemente necesaria ley penal uniforme"
The comprehensive approach that the Commission intends to adopt on this issue will be brought forward as soon as possible under Article 152 where Parliament will have a codecision function.,"""El enfoque integral que la Comisión tiene la intención de adoptar sobre esta cuestión se presentará lo antes posible en virtud del artículo 152, donde el Parlamento tendrá una función de codecisión."""
"On every occasion, and as recently as last October in this House, the Commission has highlighted the following basic positions.","'En cada ocasión, y tan recientemente como el pasado octubre en esta Cámara, la Comisión ha destacado las siguientes posiciones básicas.'"
The challenge was immense.,El desafío era inmenso.
The success of URBAN during the 1994-1999 programming period is indisputable.,El éxito de URBAN durante el período de programación 1994-1999 es indiscutible.
"However, this can be seriously questioned as the manufacturers will pass on all the costs to consumers and acquire for themselves a state-sanctioned monopoly on recycling.","Sin embargo, esto puede ser seriamente cuestionado dado que los fabricantes trasladarán todos los costos a los consumidores y obtendrán para sí mismos un monopolio en el reciclaje avalado por el estado."
"The Tampere Council, the motor and architect of this objective, has proposed certain goals, but five years, the time scale laid down for the implementation of Chapter IV of the Treaty, is too long to wait for the urgent solution which some problems require.","El Consejo de Tampere, el motor y arquitecto de este objetivo, ha propuesto ciertas metas, pero cinco años, el periodo de tiempo establecido para la implementación del Capítulo IV del Tratado, es demasiado largo para esperar la solución urgente que requieren algunos problemas."
"So, the changes that we seek to make - as I say consistent with the very strong and clear recommendations of the Committee of Independent Experts - are not negative in any way at all.","""Por lo tanto, los cambios que buscamos hacer, como menciono, en consonancia con las recomendaciones muy sólidas y claras del Comité de Expertos Independientes, no son negativos de ninguna manera."""
I feel I speak for many smaller countries when I make that particular point.,'Siento que hablo en nombre de muchos países más pequeños cuando hago ese punto en particular.'
"We therefore think that all the measures we have highlighted in terms of long-term strategies, regardless of the fact that we know that in the long term, some of the homeless may be dead, will help us to guarantee sustainable policies in the European Union.","Por lo tanto, creemos que todas las medidas que hemos resaltado en términos de estrategias a largo plazo, a pesar de saber que a largo plazo algunos de las personas sin hogar puedan estar muertos, nos ayudarán a garantizar políticas sostenibles en la Unión Europea."
"Mr President, last week, in the Andalusian town of El Ejido, we saw scenes which were inappropriate to the European Union in the year 2000.","""Señor Presidente, la semana pasada, en la localidad andaluza de El Ejido, presenciamos escenas que resultaron inapropiadas para la Unión Europea en el año 2000."""
"Of course, I am in favour of providing assistance where we can.","""Por supuesto, estoy a favor de brindar asistencia donde podamos."""
"We also wish to see these publicised on the Internet, so that there may be maximum transparency with regard to this specific point.","""También deseamos ver esto publicado en Internet, para que haya una máxima transparencia con respecto a este punto específico."""
"We have always condemned ethnic violence, no matter which ethnic group is the perpetrator or the victim.","""Siempre hemos condenado la violencia étnica, sin importar cuál grupo étnico sea el agresor o la víctima."""
Scrapie is a particularly insidious disease because the pathogen can remain active in dust for years and is then ingested in food.,'La scrapie es una enfermedad particularmente insidiosa porque el patógeno puede permanecer activo en el polvo durante años y luego es ingerido en los alimentos.'
"This would ensure that the peripheral countries and the ultraperipheral regions, the poorer regions in Europe, are in a position to operate successfully within the new euro currency zone, as well as within an ever-expanding internal market where the free movement of goods, persons, services and capital exist.","Esto garantizaría que los países periféricos y las regiones ultraperiféricas, las regiones más pobres de Europa, estén en condiciones de operar con éxito dentro de la nueva zona de euro, así como dentro de un mercado interno en constante expansión en el que exista la libre circulación de bienes, personas, servicios y capitales."
"Mr President, I am speaking on behalf of the Italian Radicals and I would like to say to the President of the Council that he has seen what Parliament' s opinion is.","""Señor Presidente, estoy hablando en nombre de los Radicales Italianos y me gustaría decirle al Presidente del Consejo que ha visto cuál es la opinión del Parlamento."""
It is a fact that we are debating this programme today because the European Parliament insisted that this initiative should be maintained.,"""Es un hecho que estamos debatiendo este programa hoy porque el Parlamento Europeo insistió en que esta iniciativa debe ser mantenida."""
"If it is higher than at the previous elections, it will mean that we have successfully met our challenge.","Si es más alto que en las elecciones anteriores, significará que hemos cumplido con éxito nuestro desafío."
"Social Europe, used as a foil by the EU, has simply been eliminated from the agenda.","'La Europa social, utilizada como un contrapunto por la UE, simplemente ha sido eliminada de la agenda.'"
"It is essential for these regions to be able to benefit fully from INTERREG III, just like all the other regions in the Union, especially now that the REGIS programme dedicated to such isolated regions has been dropped.","""Es esencial que estas regiones puedan beneficiarse plenamente del INTERREG III, al igual que todas las demás regiones de la Unión, especialmente ahora que el programa REGIS dedicado a dichas regiones aisladas ha sido eliminado."""
"Secondly, does he not agree that were the current government, at a national level, to pursue the kind of policies that Mr Haider and the Freedom Party have pursued at regional level, then there clearly would be a breach of Article 6(1) of the Treaty with regard to fundamental freedom and human rights and it would be incumbent upon the Commission to take the necessary action?","""En segundo lugar, ¿no está de acuerdo en que si el gobierno actual, a nivel nacional, llevara a cabo el tipo de políticas que el Sr. Haider y el Partido de la Libertad han seguido a nivel regional, claramente se estaría infringiendo el Artículo 6(1) del Tratado en lo que respecta a la libertad fundamental y los derechos humanos, y sería responsabilidad de la Comisión tomar las acciones neces"
Before leaving this area I would add that we agree with the rapporteur that the existing internal audit function must be maintained pending the establishment of the new independent internal audit service in a matter of months.,"""Antes de abandonar esta área, me gustaría agregar que estamos de acuerdo con el ponente en que la función de auditoría interna existente debe mantenerse hasta el establecimiento del nuevo servicio independiente de auditoría interna en cuestión de meses."""
My final point is that the regulations and the legislation must take into account the special position of the vintage car sector throughout the European Community because of its role in relation to the social sector and its environmental and economic considerations.,'Mi punto final es que las regulaciones y la legislación deben considerar la posición especial del sector de los autos clásicos en toda la Comunidad Europea debido a su papel en relación con el sector social y sus consideraciones medioambientales y económicas.'
"I am of the opinion that these are two important remarks, and that is why I am reiterating them here.","""Estoy de la opinión de que estos son dos comentarios importantes, y es por eso que los estoy reiterando aquí."""
"The Court's report is there for a reason, our response to it is there for a reason and it is important that it is followed through.","""El informe de la Corte está ahí por una razón, nuestra respuesta a él está ahí por una razón y es importante que se siga hasta el final."""
"It was decided that the dialogue should continue, but in a more targeted and effective way, given that China has agreed with the European Union' s proposal to restructure the dialogue by means of better use of experts and to establish a closer link with the seminars.","""Se decidió que el diálogo debe continuar, pero de una manera más específica y efectiva, dado que China ha aceptado la propuesta de la Unión Europea de reestructurar el diálogo mediante un mejor uso de expertos y establecer un vínculo más estrecho con los seminarios."""
"Some parts of the proposal have been criticised, among them the phasing out of some heavy metals and brominated flame retardants, as well as the application of the principle of making manufacturers responsible for the disposal of electrical and electronic waste.","""Algunas partes de la propuesta han sido criticadas, entre ellas la eliminación gradual de algunos metales pesados y retardantes de llama bromados, así como la aplicación del principio de hacer responsables a los fabricantes por la disposición de los desechos de equipos eléctricos y electrónicos."""
