English,Predicted_Spanish
"The cost of maintaining the environment, which we all enjoy, must be met by all of us, and the LIFE programme is the only financial instrument aimed exclusively at the environment and whose projects have generally been effective.","El costo de mantener el medio ambiente, del cual todos disfrutamos, debe ser sufragado por todos nosotros, y el programa LIFE es el único instrumento financiero dirigido exclusivamente al medio ambiente y cuyos proyectos han sido generalmente efectivos."
"Mr President, Commissioner, first of all I would like to congratulate the rapporteur, Mr Viceconte, who spoke at such length on the tangible possibility, for the fifteen Member States of the Union, of creating jobs by way of a sensible policy, a sensible European Union initiative in this field.","Señor Presidente, Comisario, en primer lugar me gustaría felicitar al ponente, el Sr. Viceconte, quien habló extensamente sobre la posibilidad tangible, para los quince Estados miembros de la Unión, de crear empleo mediante una política sensata, una iniciativa sensata de la Unión Europea en este ámbito."
I have no doubt further reform of EU institutions will be analysed in this debate.,No tengo dudas de que la reforma adicional de las instituciones de la UE será analizada en este debate.
Amendment No 4 makes it clear that the object of the exercise is the evaluation of fisheries resources generally.,La enmienda N.º 4 deja claro que el objetivo del ejercicio es la evaluación de los recursos pesqueros en general.
"The proposals in Mrs Theato' s report seek to encourage the Commission to present a substantive legislative measure on the protection, under criminal law, of our financial interests, which would criminalise certain activity, specifically fraud against the Community budget. These proposals represent a serious attempt to establish a new and ever more urgently-needed uniform criminal law for the whole Community.","Las propuestas presentadas en el informe de la Sra. Theato buscan alentar a la Comisión a presentar una medida legislativa sustantiva sobre la protección, en el ámbito del derecho penal, de nuestros intereses financieros, que criminalizaría ciertas actividades, específicamente el fraude contra el presupuesto de la Comunidad. Estas propuestas representan un intento serio de establecer una nueva y cada vez más urgentemente"
The comprehensive approach that the Commission intends to adopt on this issue will be brought forward as soon as possible under Article 152 where Parliament will have a codecision function.,"El enfoque integral que la Comisión tiene la intención de adoptar sobre este tema se presentará tan pronto como sea posible bajo el Artículo 152, donde el Parlamento tendrá una función de codecisión."
"On every occasion, and as recently as last October in this House, the Commission has highlighted the following basic positions.","En cada ocasión, y tan recientemente como el pasado octubre en esta Cámara, la Comisión ha destacado las siguientes posiciones básicas."
The challenge was immense.,El desafío era inmenso.
The success of URBAN during the 1994-1999 programming period is indisputable.,El éxito de URBAN durante el período de programación 1994-1999 es indiscutible.
"However, this can be seriously questioned as the manufacturers will pass on all the costs to consumers and acquire for themselves a state-sanctioned monopoly on recycling.","Sin embargo, esto puede ser cuestionado seriamente ya que los fabricantes trasladarán todos los costos a los consumidores y obtendrán para sí mismos un monopolio respaldado por el Estado en el reciclaje."
